depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,num_demands,num_cancellation_demands,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap,filter_demand,optimizer_constructor
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.05,Optimal,1.4468920230865479,1,102,68,0,345.9309383389143,144.23939821764907,1.3838383838383839,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.1,Optimal,1.1889898777008057,1,102,68,0,345.9309383389143,150.62573326579468,1.4941176470588236,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.15,Optimal,1.1733899116516113,1,102,68,0,345.9309383389143,153.12872951406598,1.3982300884955752,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.2,Optimal,1.3543779850006104,1,102,68,0,453.26326615392213,134.88927200346166,1.492063492063492,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.25,Optimal,1.1768949031829834,2,102,68,0,815.9394037924893,413.2432075979942,1.2682882882882882,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.3,Optimal,1.104456901550293,2,102,68,0,920.4634530972332,359.27397326325627,1.2772700471698113,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.35,Optimal,1.066694974899292,2,102,68,0,955.1139248464128,360.9601723890495,1.3699593044765075,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.4,Optimal,1.2898809909820557,3,102,68,0,1206.766821771273,457.8627991495325,1.1456889935983074,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.45,Optimal,1.4654438495635986,3,102,68,0,1421.4518802112934,608.5878842947232,1.3132220455749868,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.5,Optimal,1.5112321376800537,3,102,68,0,1414.1794292327045,603.4417968773495,1.3456373164995323,0.0,true,Gurobi.Optimizer
VLP Boizenburg,2025-06-01,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.55,Optimal,1.3103108406066895,4,102,68,0,1882.2247177173122,660.4004979660077,1.3042768576404493,0.0,true,Gurobi.Optimizer
